ano,mes,data,regiao,uf,cidade,startup,setor,funcionarios,investimento_recebido,faturamento,crescimento_percentual,estagio,tecnologia_principal,nivel_inovacao
2015,1,2015-01-01,Norte,AM,Manaus,Startup_102,Healthtech,45,81015.81,103398.09,25.83,Série A,IA,Disruptivo
2015,1,2015-01-01,Norte,PA,Belém,Startup_042,Healthtech,511,394777.49,51287.66,112.99,Série A,Blockchain,Baixo
2015,1,2015-01-01,Norte,PA,Santarém,Startup_190,Edtech,734,8421.17,58930.94,110.65,Série A,Blockchain,Disruptivo
2015,1,2015-01-01,Norte,RO,Porto Velho,Startup_180,Agritech,708,229959.13,327562.75,39.8,Seed,Big Data,Disruptivo
2015,1,2015-01-01,Norte,TO,Palmas,Startup_056,Agritech,361,210557.02,55407.91,126.86,Série B,Big Data,Disruptivo
2015,1,2015-01-01,Nordeste,BA,Salvador,Startup_124,Agritech,706,382819.13,38010.18,148.08,Scale-up,IA,Disruptivo
2015,1,2015-01-01,Nordeste,BA,Feira de Santana,Startup_118,Healthtech,565,45746.61,284933.72,63.16,Seed,IA,Médio
2015,1,2015-01-01,Nordeste,PE,Recife,Startup_041,Edtech,255,42064.89,27344.94,113.39,Série A,SaaS,Médio
2015,1,2015-01-01,Nordeste,PE,Jaboatão dos Guararapes,Startup_073,Fintech,224,38066.85,144556.51,-0.55,Seed,Big Data,Alto
2015,1,2015-01-01,Nordeste,CE,Fortaleza,Startup_037,Agritech,538,590526.92,88364.05,99.18,Série A,Cloud,Baixo
2015,1,2015-01-01,Nordeste,CE,Juazeiro do Norte,Startup_179,Agritech,784,190523.86,45876.15,120.66,Seed,SaaS,Baixo
2015,1,2015-01-01,Nordeste,MA,São Luís,Startup_033,Edtech,148,117513.64,256826.71,-15.17,Série B,Cloud,Disruptivo
2015,1,2015-01-01,Nordeste,PB,João Pessoa,Startup_040,Edtech,476,626610.0,260957.68,121.47,Seed,IoT,Médio
2015,1,2015-01-01,Centro-Oeste,DF,Brasília,Startup_041,IA,770,216970.9,224194.33,12.65,Série B,Cloud,Baixo
2015,1,2015-01-01,Centro-Oeste,GO,Goiânia,Startup_112,Edtech,237,71569.35,10854.16,93.91,Seed,SaaS,Baixo
2015,1,2015-01-01,Centro-Oeste,GO,Aparecida de Goiânia,Startup_152,Fintech,171,2475211.14,294948.27,175.73,Série B,IA,Alto
2015,1,2015-01-01,Centro-Oeste,MT,Cuiabá,Startup_196,Agritech,397,272658.81,244621.97,76.92,Série B,SaaS,Baixo
2015,1,2015-01-01,Centro-Oeste,MS,Campo Grande,Startup_013,Fintech,305,95389.59,518706.05,107.28,Série B,Blockchain,Alto
2015,1,2015-01-01,Sudeste,SP,São Paulo,Startup_121,Fintech,451,133925.13,181440.92,55.1,Série A,SaaS,Alto
2015,1,2015-01-01,Sudeste,SP,Campinas,Startup_064,Healthtech,509,129008.32,579626.14,12.38,Seed,IA,Baixo
2015,1,2015-01-01,Sudeste,SP,Ribeirão Preto,Startup_110,Healthtech,154,119912.15,225357.33,138.46,Ideação,Big Data,Alto
2015,1,2015-01-01,Sudeste,RJ,Rio de Janeiro,Startup_184,Fintech,183,1208647.07,1288535.35,23.86,Série A,Blockchain,Baixo
2015,1,2015-01-01,Sudeste,RJ,Niterói,Startup_015,IA,306,887966.48,1630726.03,58.01,Seed,Big Data,Baixo
2015,1,2015-01-01,Sudeste,RJ,Nova Iguaçu,Startup_147,Fintech,576,58491.74,42057.98,-1.66,Série A,IA,Alto
2015,1,2015-01-01,Sudeste,RJ,Petrópolis,Startup_108,Retailtech,151,43557.46,819717.39,50.69,Ideação,SaaS,Baixo
2015,1,2015-01-01,Sudeste,MG,Belo Horizonte,Startup_170,Healthtech,167,109473.42,332769.93,53.06,Scale-up,SaaS,Disruptivo
2015,1,2015-01-01,Sudeste,MG,Uberlândia,Startup_080,IA,475,797296.51,293452.92,110.95,Ideação,IoT,Médio
2015,1,2015-01-01,Sudeste,MG,Juiz de Fora,Startup_045,Fintech,606,184096.94,226054.86,170.84,Seed,Cloud,Disruptivo
2015,1,2015-01-01,Sudeste,ES,Vitória,Startup_019,IA,612,275215.24,526524.84,93.59,Scale-up,Big Data,Disruptivo
2015,1,2015-01-01,Sudeste,ES,Vila Velha,Startup_113,IA,383,59179.2,199860.09,42.9,Scale-up,Blockchain,Alto
2015,1,2015-01-01,Sudeste,ES,Serra,Startup_198,IA,368,185994.48,76463.57,-13.07,Scale-up,IoT,Médio
2015,1,2015-01-01,Sul,PR,Curitiba,Startup_065,Healthtech,310,179583.03,82085.49,2.13,Seed,Cloud,Disruptivo
2015,1,2015-01-01,Sul,PR,Londrina,Startup_062,Retailtech,259,131676.29,81948.38,10.03,Scale-up,Big Data,Baixo
2015,1,2015-01-01,Sul,SC,Florianópolis,Startup_013,Retailtech,600,1562530.17,212474.7,132.28,Scale-up,Blockchain,Disruptivo
2015,1,2015-01-01,Sul,SC,Joinville,Startup_198,Fintech,170,18719.72,53157.45,139.7,Série A,SaaS,Baixo
2015,1,2015-01-01,Sul,RS,Porto Alegre,Startup_098,Healthtech,192,107661.89,616370.4,47.89,Série B,IoT,Alto
